receipt,date,time,details,direction,amount,balance,category,is_gambling,is_loan_app
UT00011PVC,2026-04-28,14:29:08,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1421,28627.55,business_in,false,false
UU00011VZB,2026-04-28,20:08:24,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1568,30195.55,business_in,false,false
UV0001223A,2026-04-29,07:47:07,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,1024,29171.55,send_money,false,false
UW00012879,2026-04-29,09:36:39,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1178,30349.55,business_in,false,false
UX00012EB8,2026-04-29,14:40:06,"Airtime Purchase",out,110,30239.55,airtime,false,false
UY00012KF7,2026-04-29,17:01:43,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1281,31520.55,business_in,false,false
UZ00012QJ6,2026-04-30,07:58:54,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1023,32543.55,business_in,false,false
UA00012WN5,2026-04-30,10:09:34,"Merchant Payment to 555781 - MAMA NGINA GREENGROCERS",out,1407,31136.55,till,false,false
UB000132R4,2026-04-30,14:29:50,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,708,31844.55,business_in,false,false
UC000138V3,2026-05-01,08:27:36,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1117,32961.55,business_in,false,false
UD00013EZ2,2026-05-01,09:11:45,"Funds received from - 2547******902 GRACE WANJIRU",in,1673,34634.55,income_received,false,false
UE00013L31,2026-05-01,20:38:34,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,390,35024.55,business_in,false,false
UF00013R70,2026-05-02,07:33:09,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,307,35331.55,business_in,false,false
UG00013XAZ,2026-05-02,11:03:01,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,732,36063.55,business_in,false,false
UH000143EY,2026-05-03,06:32:15,"Pay Bill to 522533 - SUNRISE APARTMENTS Acc. RENT",out,9500,26563.55,paybill,false,false
UJ000149IX,2026-05-03,10:11:23,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,806,27369.55,business_in,false,false
UK00014FMW,2026-05-03,10:59:28,"Customer Transfer to - 2547******377 MERCY ACHIENG",out,1168,26201.55,send_money,false,false
UL00014LQV,2026-05-03,12:01:36,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,730,26931.55,business_in,false,false
UM00014RUU,2026-05-03,18:11:42,"Merchant Payment to 558836 - MAMA NGINA GREENGROCERS",out,1138,25793.55,till,false,false
UN00014XYT,2026-05-03,18:14:51,"Pay Bill to 290290 - BETIKA Acc. 07******",out,378,25415.55,gambling,true,false
UP0001542S,2026-05-03,21:39:30,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,889,26304.55,business_in,false,false
UQ00015A6R,2026-05-04,08:08:51,"Merchant Payment to 545162 - JUJA BUTCHERY",out,822,25482.55,till,false,false
UR00015GAQ,2026-05-04,11:10:50,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1161,26643.55,business_in,false,false
US00015MEP,2026-05-04,14:01:18,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1102,27745.55,business_in,false,false
UT00015SIO,2026-05-04,20:55:57,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,352,28097.55,business_in,false,false
UU00015YMN,2026-05-05,06:32:13,"Merchant Payment to 521723 - NAIVAS SUPERMARKET THIKA RD",out,1923,26174.55,till,false,false
UV000164QM,2026-05-05,18:23:49,"Pay Bill to 888880 - KPLC PREPAID Acc. 37194***",out,1257,24917.55,paybill,false,false
UW00016AUL,2026-05-06,08:45:55,"Merchant Payment to 521659 - QUICKMART KASARANI",out,426,24491.55,till,false,false
UX00016GYK,2026-05-06,08:56:06,"Merchant Payment Online to 875470 - RUBIS ENERGY JUJA",out,1492,22999.55,till,false,false
UY00016N2J,2026-05-06,12:09:31,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,999,23998.55,business_in,false,false
UZ00016T6I,2026-05-06,15:31:26,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,881,24879.55,business_in,false,false
UA00016ZAH,2026-05-06,16:54:44,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1165,26044.55,business_in,false,false
UB000175EG,2026-05-07,07:24:25,"Merchant Payment Online to 888800 - RUBIS ENERGY JUJA",out,772,25272.55,till,false,false
UC00017BIF,2026-05-08,13:00:53,"Airtime Purchase",out,182,25090.55,airtime,false,false
UD00017HME,2026-05-08,14:40:26,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,258,25348.55,business_in,false,false
UE00017NQD,2026-05-08,15:48:47,"M-Shwari Loan Disbursement",in,4280,29628.55,loan_in,false,true
UF00017TUC,2026-05-08,17:55:56,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1362,30990.55,business_in,false,false
UG00017ZYB,2026-05-08,20:55:15,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1517,32507.55,business_in,false,false
UH0001862A,2026-05-09,10:20:22,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,336,32843.55,business_in,false,false
UJ00018C69,2026-05-09,10:57:48,"Merchant Payment to 553726 - QUICKMART KASARANI",out,1143,31700.55,till,false,false
UK00018IA8,2026-05-09,14:39:46,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,337,32037.55,business_in,false,false
UL00018OE7,2026-05-09,14:53:13,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,342,32379.55,business_in,false,false
UM00018UI6,2026-05-09,20:25:33,"Customer Transfer to - 2547******155 JOHN KAMAU",out,984,31395.55,send_money,false,false
UN000190M5,2026-05-10,17:54:54,"Airtime Purchase",out,93,31302.55,airtime,false,false
UP000196Q4,2026-05-11,12:20:56,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,406,31708.55,business_in,false,false
UQ00019CU3,2026-05-11,17:29:47,"OverDraft of Credit Party",in,1403,33111.55,loan_in,false,true
UR00019IY2,2026-05-11,17:34:19,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1625,34736.55,business_in,false,false
US00019P21,2026-05-11,18:38:02,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,957,35693.55,business_in,false,false
UT00019V60,2026-05-11,20:02:01,"Merchant Payment to 552157 - MAMA NGINA GREENGROCERS",out,1496,34197.55,till,false,false
UU0001A19Z,2026-05-11,21:38:38,"Pay Bill to 290290 - BETIKA Acc. 07******",out,452,33745.55,gambling,true,false
UV0001A7DY,2026-05-12,10:38:18,"OD Loan Repayment to 232323 - M-PESA Overdraw",out,1417,32328.55,loan_repay,false,true
UW0001ADHX,2026-05-12,11:47:34,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,374,32702.55,business_in,false,false
UX0001AJLW,2026-05-12,21:22:04,"Merchant Payment to 527462 - JUJA BUTCHERY",out,566,32136.55,till,false,false
UY0001APPV,2026-05-13,12:33:47,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,764,32900.55,business_in,false,false
UZ0001AVTU,2026-05-13,13:02:59,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,730,33630.55,business_in,false,false
UA0001B1XT,2026-05-14,10:00:43,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,334,33964.55,business_in,false,false
UB0001B81S,2026-05-14,10:54:38,"Merchant Payment to 544427 - JUJA BUTCHERY",out,1161,32803.55,till,false,false
UC0001BE5R,2026-05-14,15:32:06,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1638,34441.55,business_in,false,false
UD0001BK9Q,2026-05-14,15:52:50,"Airtime Purchase",out,99,34342.55,airtime,false,false
UE0001BQDP,2026-05-14,21:26:29,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,465,34807.55,business_in,false,false
UF0001BWHO,2026-05-15,18:24:13,"Customer Transfer to - 2547******640 BRIAN KIPROTICH",out,985,33822.55,send_money,false,false
UG0001C2LN,2026-05-16,20:02:36,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1038,34860.55,business_in,false,false
UH0001C8PM,2026-05-17,06:48:12,"Pay Bill to 290290 - BETIKA Acc. 07******",out,301,34559.55,gambling,true,false
UJ0001CETL,2026-05-17,13:08:19,"Merchant Payment to 575626 - JUJA BUTCHERY",out,427,34132.55,till,false,false
UK0001CKXK,2026-05-17,19:15:52,"Funds received from - 2547******640 BRIAN KIPROTICH",in,1347,35479.55,income_received,false,false
UL0001CR1J,2026-05-18,14:33:36,"Customer Transfer to - 2547******155 JOHN KAMAU",out,1255,34224.55,send_money,false,false
UM0001CX5I,2026-05-18,15:46:51,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1650,35874.55,business_in,false,false
UN0001D39H,2026-05-18,17:25:19,"Merchant Payment to 575204 - JUJA BUTCHERY",out,2138,33736.55,till,false,false
UP0001D9DG,2026-05-18,17:45:54,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1425,35161.55,business_in,false,false
UQ0001DFHF,2026-05-19,16:34:01,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1090,36251.55,business_in,false,false
UR0001DLLE,2026-05-19,17:47:14,"Funds received from - 2547******155 JOHN KAMAU",in,3074,39325.55,income_received,false,false
US0001DRPD,2026-05-19,18:20:13,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1321,40646.55,business_in,false,false
UT0001DXTC,2026-05-20,07:31:04,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1346,41992.55,business_in,false,false
UU0001E3XB,2026-05-20,21:29:09,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,934,42926.55,business_in,false,false
UV0001EA1A,2026-05-21,19:29:30,"Merchant Payment Online to 812882 - RUBIS ENERGY JUJA",out,1118,41808.55,till,false,false
UW0001EG59,2026-05-21,21:36:30,"Pay Bill to 290290 - BETIKA Acc. 07******",out,365,41443.55,gambling,true,false
UX0001EM98,2026-05-22,07:31:02,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,573,42016.55,business_in,false,false
UY0001ESD7,2026-05-22,11:15:33,"OverDraft of Credit Party",in,606,42622.55,loan_in,false,true
UZ0001EYH6,2026-05-22,12:34:37,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1020,43642.55,business_in,false,false
UA0001F4L5,2026-05-23,09:42:09,"OD Loan Repayment to 232323 - M-PESA Overdraw",out,612,43030.55,loan_repay,false,true
UB0001FAP4,2026-05-23,13:06:15,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,290,43320.55,business_in,false,false
UC0001FGT3,2026-05-23,14:55:59,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1597,44917.55,business_in,false,false
UD0001FMX2,2026-05-24,11:40:17,"Customer Withdrawal At Agent Till 375952 - JUJA AGENCIES",out,2767,42150.55,withdraw,false,false
UE0001FT11,2026-05-25,10:38:17,"M-Shwari Loan Repayment",out,4601,37549.55,loan_repay,false,true
UF0001FZ50,2026-05-25,19:27:54,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,559,38108.55,business_in,false,false
UG0001G58Z,2026-05-25,19:32:49,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1238,39346.55,business_in,false,false
UH0001GBCY,2026-05-25,20:56:36,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,508,39854.55,business_in,false,false
UJ0001GHGX,2026-05-26,06:34:02,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1011,40865.55,business_in,false,false
UK0001GNKW,2026-05-27,08:06:53,"Merchant Payment to 537640 - NAIVAS SUPERMARKET THIKA RD",out,482,40383.55,till,false,false
UL0001GTOV,2026-05-27,08:14:53,"Airtime Purchase",out,117,40266.55,airtime,false,false
UM0001GZSU,2026-05-27,14:08:34,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1414,41680.55,business_in,false,false
UN0001H5WT,2026-05-27,17:25:10,"Customer Withdrawal At Agent Till 389900 - JUJA AGENCIES",out,578,41102.55,withdraw,false,false
UP0001HC0S,2026-05-27,18:56:56,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1264,42366.55,business_in,false,false
UQ0001HI4R,2026-05-27,21:01:46,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1432,43798.55,business_in,false,false
UR0001HO8Q,2026-05-28,10:40:21,"Merchant Payment to 561845 - NAIVAS SUPERMARKET THIKA RD",out,906,42892.55,till,false,false
US0001HUCP,2026-05-28,13:33:43,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,338,43230.55,business_in,false,false
UT0001I0GO,2026-05-28,14:52:31,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1362,44592.55,business_in,false,false
UU0001I6KN,2026-05-28,21:32:25,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,798,45390.55,business_in,false,false
UV0001ICOM,2026-05-29,07:21:44,"Customer Transfer to - 2547******640 BRIAN KIPROTICH",out,1417,43973.55,send_money,false,false
UW0001IISL,2026-05-29,09:38:40,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,695,44668.55,business_in,false,false
UX0001IOWK,2026-05-29,13:55:12,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1700,46368.55,business_in,false,false
UY0001IV0J,2026-05-29,13:55:44,"Merchant Payment to 585949 - JUJA BUTCHERY",out,2063,44305.55,till,false,false
UZ0001J14I,2026-05-30,11:06:01,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,1222,43083.55,send_money,false,false
UA0001J78H,2026-05-30,20:51:33,"Merchant Payment Online to 823437 - RUBIS ENERGY JUJA",out,578,42505.55,till,false,false
UB0001JDCG,2026-05-30,21:56:44,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,551,43056.55,business_in,false,false
UC0001JJGF,2026-05-31,07:19:02,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1645,44701.55,business_in,false,false
UD0001JPKE,2026-05-31,07:49:28,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1223,45924.55,business_in,false,false
UE0001JVOD,2026-05-31,10:36:23,"Pay Bill to 290290 - BETIKA Acc. 07******",out,457,45467.55,gambling,true,false
UF0001K1SC,2026-05-31,13:33:04,"Airtime Purchase",out,145,45322.55,airtime,false,false
UG0001K7WB,2026-05-31,16:44:34,"Merchant Payment to 578908 - QUICKMART KASARANI",out,1780,43542.55,till,false,false
UH0001KE0A,2026-05-31,19:15:06,"Customer Transfer to - 2547******418 PETER OTIENO",out,980,42562.55,send_money,false,false
UJ0001KK49,2026-06-01,10:04:13,"Customer Transfer to - 2547******418 PETER OTIENO",out,1255,41307.55,send_money,false,false
UK0001KQ88,2026-06-01,11:08:35,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,443,41750.55,business_in,false,false
UL0001KWC7,2026-06-01,12:42:21,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,583,42333.55,business_in,false,false
UM0001L2G6,2026-06-01,13:26:02,"Merchant Payment to 563969 - NAIVAS SUPERMARKET THIKA RD",out,1729,40604.55,till,false,false
UN0001L8K5,2026-06-01,18:06:06,"Customer Withdrawal At Agent Till 331484 - JUJA AGENCIES",out,2300,38304.55,withdraw,false,false
UP0001LEO4,2026-06-02,08:04:15,"Pay Bill to 290290 - BETIKA Acc. 07******",out,150,38154.55,gambling,true,false
UQ0001LKS3,2026-06-02,10:54:56,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,880,39034.55,business_in,false,false
UR0001LQW2,2026-06-02,12:59:01,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,832,38202.55,send_money,false,false
US0001LX01,2026-06-02,13:23:21,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1051,39253.55,business_in,false,false
UT0001M340,2026-06-02,19:14:15,"Funds received from - 2547******155 JOHN KAMAU",in,1279,40532.55,income_received,false,false
UU0001M97Z,2026-06-02,19:30:55,"Merchant Payment to 526353 - JUJA BUTCHERY",out,1930,38602.55,till,false,false
UV0001MFBY,2026-06-03,07:58:42,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1393,39995.55,business_in,false,false
UW0001MLFX,2026-06-03,10:15:16,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1299,41294.55,business_in,false,false
UX0001MRJW,2026-06-03,11:44:19,"Airtime Purchase",out,138,41156.55,airtime,false,false
UY0001MXNV,2026-06-03,12:57:03,"OverDraft of Credit Party",in,869,42025.55,loan_in,false,true
UZ0001N3RU,2026-06-03,15:10:10,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,318,41707.55,send_money,false,false
UA0001N9VT,2026-06-03,16:42:01,"Merchant Payment Online to 884878 - RUBIS ENERGY JUJA",out,1074,40633.55,till,false,false
UB0001NFZS,2026-06-03,17:44:53,"Pay Bill to 522533 - SUNRISE APARTMENTS Acc. RENT",out,9500,31133.55,paybill,false,false
UC0001NM3R,2026-06-04,08:25:06,"Customer Transfer to - 2547******902 GRACE WANJIRU",out,490,30643.55,send_money,false,false
UD0001NS7Q,2026-06-04,18:37:26,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,666,31309.55,business_in,false,false
UE0001NYBP,2026-06-04,19:21:11,"OD Loan Repayment to 232323 - M-PESA Overdraw",out,878,30431.55,loan_repay,false,true
UF0001O4FO,2026-06-04,20:55:59,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,400,30831.55,business_in,false,false
UG0001OAJN,2026-06-05,06:47:47,"Airtime Purchase",out,245,30586.55,airtime,false,false
UH0001OGNM,2026-06-05,10:58:18,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,675,31261.55,business_in,false,false
UJ0001OMRL,2026-06-05,16:24:40,"Merchant Payment to 514039 - QUICKMART KASARANI",out,984,30277.55,till,false,false
UK0001OSVK,2026-06-05,16:44:24,"Pay Bill to 888880 - KPLC PREPAID Acc. 37194***",out,976,29301.55,paybill,false,false
UL0001OYZJ,2026-06-05,18:18:10,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,989,30290.55,business_in,false,false
UM0001P53I,2026-06-06,09:33:33,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1175,31465.55,business_in,false,false
UN0001PB7H,2026-06-06,10:06:10,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1402,32867.55,business_in,false,false
UP0001PHBG,2026-06-06,14:53:21,"Merchant Payment to 541051 - MAMA NGINA GREENGROCERS",out,1894,30973.55,till,false,false
UQ0001PNFF,2026-06-06,15:27:28,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,584,31557.55,business_in,false,false
UR0001PTJE,2026-06-06,15:46:36,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1557,33114.55,business_in,false,false
US0001PZND,2026-06-07,11:46:07,"Customer Transfer to - 2547******640 BRIAN KIPROTICH",out,691,32423.55,send_money,false,false
UT0001Q5RC,2026-06-07,16:42:25,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,280,32703.55,business_in,false,false
UU0001QBVB,2026-06-07,18:05:17,"Pay Bill to 290290 - BETIKA Acc. 07******",out,104,32599.55,gambling,true,false
UV0001QHZA,2026-06-07,19:29:12,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,838,33437.55,business_in,false,false
UW0001QO39,2026-06-07,20:23:17,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1585,35022.55,business_in,false,false
UX0001QU78,2026-06-08,09:30:48,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,628,35650.55,business_in,false,false
UY0001R0B7,2026-06-08,11:36:29,"M-Shwari Loan Disbursement",in,5374,41024.55,loan_in,false,true
UZ0001R6F6,2026-06-08,11:42:26,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,273,41297.55,business_in,false,false
UA0001RCJ5,2026-06-08,17:28:08,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,555,41852.55,business_in,false,false
UB0001RIN4,2026-06-08,18:16:29,"Customer Transfer to - 2547******418 PETER OTIENO",out,747,41105.55,send_money,false,false
UC0001ROR3,2026-06-08,20:43:10,"Merchant Payment to 550416 - NAIVAS SUPERMARKET THIKA RD",out,2055,39050.55,till,false,false
UD0001RUV2,2026-06-09,09:52:48,"Merchant Payment to 573117 - MAMA NGINA GREENGROCERS",out,646,38404.55,till,false,false
UE0001S0Z1,2026-06-09,09:57:50,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,889,39293.55,business_in,false,false
UF0001S730,2026-06-09,13:12:58,"Airtime Purchase",out,160,39133.55,airtime,false,false
UG0001SD6Z,2026-06-09,14:42:09,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,845,39978.55,business_in,false,false
UH0001SJAY,2026-06-09,16:07:28,"Pay Bill to 290290 - BETIKA Acc. 07******",out,419,39559.55,gambling,true,false
UJ0001SPEX,2026-06-09,20:15:28,"Customer Transfer to - 2547******155 JOHN KAMAU",out,647,38912.55,send_money,false,false
UK0001SVIW,2026-06-10,09:06:42,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,660,39572.55,business_in,false,false
UL0001T1MV,2026-06-10,13:04:04,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1055,40627.55,business_in,false,false
UM0001T7QU,2026-06-10,19:01:18,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,767,41394.55,business_in,false,false
UN0001TDUT,2026-06-11,07:33:48,"Customer Withdrawal At Agent Till 326339 - JUJA AGENCIES",out,1555,39839.55,withdraw,false,false
UP0001TJYS,2026-06-11,13:15:27,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,864,40703.55,business_in,false,false
UQ0001TQ2R,2026-06-11,20:34:13,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,307,41010.55,business_in,false,false
UR0001TW6Q,2026-06-12,06:26:33,"Pay Bill to 290290 - BETIKA Acc. 07******",out,685,40325.55,gambling,true,false
US0001U2AP,2026-06-12,07:55:28,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1142,41467.55,business_in,false,false
UT0001U8EO,2026-06-12,08:57:20,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,736,42203.55,business_in,false,false
UU0001UEIN,2026-06-12,15:33:01,"Merchant Payment to 562158 - MAMA NGINA GREENGROCERS",out,2026,40177.55,till,false,false
UV0001UKMM,2026-06-12,17:19:06,"Customer Transfer to - 2547******155 JOHN KAMAU",out,793,39384.55,send_money,false,false
UW0001UQQL,2026-06-12,17:32:47,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,598,39982.55,business_in,false,false
UX0001UWUK,2026-06-13,07:16:51,"Customer Transfer to - 2547******418 PETER OTIENO",out,835,39147.55,send_money,false,false
UY0001V2YJ,2026-06-13,13:31:03,"Merchant Payment to 588711 - NAIVAS SUPERMARKET THIKA RD",out,2076,37071.55,till,false,false
UZ0001V92I,2026-06-13,13:42:01,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1477,38548.55,business_in,false,false
UA0001VF6H,2026-06-13,13:46:34,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,316,38864.55,business_in,false,false
UB0001VLAG,2026-06-13,15:20:40,"Pay Bill to 290290 - BETIKA Acc. 07******",out,574,38290.55,gambling,true,false
UC0001VREF,2026-06-14,08:17:23,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1014,39304.55,business_in,false,false
UD0001VXIE,2026-06-14,09:56:49,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1027,40331.55,business_in,false,false
UE0001W3MD,2026-06-14,14:11:45,"Customer Transfer to - 2547******418 PETER OTIENO",out,885,39446.55,send_money,false,false
UF0001W9QC,2026-06-14,16:56:23,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,972,40418.55,business_in,false,false
UG0001WFUB,2026-06-14,17:28:38,"Pay Bill to 290290 - BETIKA Acc. 07******",out,107,40311.55,gambling,true,false
UH0001WLYA,2026-06-15,08:55:45,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1471,41782.55,business_in,false,false
UJ0001WS29,2026-06-15,10:05:22,"Funds received from - TALA KENYA LIMITED",in,7388,49170.55,loan_in,false,true
UK0001WY68,2026-06-15,17:25:29,"Funds received from - 2547******377 MERCY ACHIENG",in,1329,50499.55,income_received,false,false
UL0001X4A7,2026-06-15,20:47:10,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1056,51555.55,business_in,false,false
UM0001XAE6,2026-06-16,20:08:55,"Customer Transfer to - 2547******418 PETER OTIENO",out,1135,50420.55,send_money,false,false
UN0001XGI5,2026-06-18,15:19:59,"Customer Transfer to - 2547******418 PETER OTIENO",out,1379,49041.55,send_money,false,false
UP0001XMM4,2026-06-19,08:21:23,"Customer Transfer to - 2547******418 PETER OTIENO",out,493,48548.55,send_money,false,false
UQ0001XSQ3,2026-06-19,08:30:17,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1554,50102.55,business_in,false,false
UR0001XYU2,2026-06-19,09:33:50,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1518,51620.55,business_in,false,false
US0001Y4Y1,2026-06-19,09:58:06,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,662,52282.55,business_in,false,false
UT0001YB20,2026-06-19,16:04:40,"OverDraft of Credit Party",in,320,52602.55,loan_in,false,true
UU0001YH5Z,2026-06-19,17:40:36,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,667,53269.55,business_in,false,false
UV0001YN9Y,2026-06-20,06:18:30,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,967,54236.55,business_in,false,false
UW0001YTDX,2026-06-20,07:35:45,"Airtime Purchase",out,67,54169.55,airtime,false,false
UX0001YZHW,2026-06-20,11:34:46,"OD Loan Repayment to 232323 - M-PESA Overdraw",out,323,53846.55,loan_repay,false,true
UY0001Z5LV,2026-06-20,17:22:05,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,795,54641.55,business_in,false,false
UZ0001ZBPU,2026-06-20,17:33:44,"Merchant Payment to 597821 - MAMA NGINA GREENGROCERS",out,819,53822.55,till,false,false
UA0001ZHTT,2026-06-20,18:22:38,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,1145,54967.55,business_in,false,false
UB0001ZNXS,2026-06-20,18:28:22,"Customer Transfer to - 2547******640 BRIAN KIPROTICH",out,475,54492.55,send_money,false,false
UC0001ZU1R,2026-06-21,10:30:33,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,351,54843.55,business_in,false,false
UD0002005Q,2026-06-21,21:32:40,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1637,56480.55,business_in,false,false
UE0002069P,2026-06-22,07:21:33,"Merchant Payment to 567429 - QUICKMART KASARANI",out,1265,55215.55,till,false,false
UF00020CDO,2026-06-22,10:37:24,"Pay Bill to 851900 - TALA KENYA Acc. LOAN",out,2832,52383.55,paybill,false,true
UG00020IHN,2026-06-22,13:13:33,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1659,54042.55,business_in,false,false
UH00020OLM,2026-06-22,16:26:29,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,1401,55443.55,business_in,false,false
UJ00020UPL,2026-06-22,16:37:14,"Airtime Purchase",out,84,55359.55,airtime,false,false
UK000210TK,2026-06-22,20:25:22,"Pay Bill to 290290 - BETIKA Acc. 07******",out,520,54839.55,gambling,true,false
UL000216XJ,2026-06-23,16:19:25,"Merchant Payment to 517929 - QUICKMART KASARANI",out,842,53997.55,till,false,false
UM00021D1I,2026-06-24,08:14:41,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,799,54796.55,business_in,false,false
